"id","name","agencies"
"1038","Banestes Distribuidora de Títulos e Valores Mobiliários S/A","1"
"21","BANESTES S.A. Banco do Estado do Espírito Santo","130"
"1039","Banif Banco de Investimento (Brasil) S.A.","2"
"719","Banif-Banco Internacional do Funchal (Brasil)S.A.","1"
"1040","Banrisul S/A Corretora de Valores Mobiliários e Câmbio","1"
"1041","Barigui Companhia Hipotecária","1"
"1042","Barigui S.A. Crédito, Financiamento e Investimentos","1"
"1044","BB Banco de Investimento S.A.","1"
"1043","BB Gestão de Recursos - Distribuidora de Títulos e Valores Mobiliários S.A.","2"
"1045","BB Leasing S/A Arrendamento Mercantil","1"
"81","BBN Banco Brasileiro de Negócios S.A.","1"
"250","BCV - Banco de Crédito e Varejo S.A.","2"
"1046","BEC Distribuidora de Títulos e Valores Mobiliários LTDA.","1"
"1047","BEM - Distribuidora de Títulos e Valores Mobiliários LTDA.","1"
"1048","Besc-Distribuidora de Títulos e Valores Mobiliários SA-Bescval","1"
"144","BEXS Banco de Câmbio S.A.","1"
"1049","Bexs Corretora de Câmbio S/A","1"
"1050","BMC Asset Management - Distribuidora de Títulos e Valores Mobiliários LTDA.","1"
"1051","BMG Leasing S.A. - Arrendamento Mercantil","1"
"1052","BMW Financeira S.A. - Crédito, Financiamento e Investimento","1"
"1053","BMW Leasing do Brasil S.A. - Arrendamento Mercantil","1"
"17","BNY Mellon Banco S.A.","2"
"1054","BNY Mellon Serviços Financeiros Distribuidora de Títulos e Valores Mobiliários S.A.","1"
"126","BR Partners Banco de Investimento S.A.","1"
"1055","BR Partners Corretora de Títulos e Valores Mobiliários S.A.","1"
"1056","Bradesco Leasing S.A. Arrecadamento Mercantil","1"
"1057","Bradesco S.A. Corretora de Títulos e Valores Mobiliários","1"
"1058","Bradesco-Kirton Corretora de Títulos e Valores Mobiliários S.A.","1"
"1059","BRAM - Bradesco Asset Management S.A. Distribuidora de Títulos e Valores Mobiliários","1"
"1060","Brasil Plural Corretora de Câmbio, Títulos e Valores Mobiliários S.A.","2"
"70","BRB - Banco de Brasília S.A.","122"
"1062","BRB - Crédito, Financiamento e Investimento S.A.","1"
"1063","BRB - Distribuidora de Títulos e Valores Mobiliários SA","1"
"1064","BTG Pactual Asset Management S.A. Distribuidora de Títulos e Valores Mobiliários","2"
